game_id,title,price,discount
104612,Tainted Grail: The Fall of Avalon,"40,34",-8
375416,FANTASY LIFE i: The Girl Who Steals Time,"51,99",-10
50036,"Warhammer 40,000: Gladius - Relics of War","1,63",-96
137829,Deliver At All Costs,Free,-100
324174,Clair Obscur: Expedition 33,"28,59",-42
93437,Source of Madness,"1,99",-90
83203,STAR WARS Battlefront II: Celebration Edition,"36,56",-5
125196,Sifu,Free,-100
362288,ELDEN RING NIGHTREIGN,"29,18",-23
324169,DOOM: The Dark Ages,"42,95",-43
32194,STAR WARS Battlefront II (2017),"19,99",0
80011,Red Dead Redemption 2,"10,48",-82
23660,The Witcher 3: Wild Hunt - Complete Edition,"9,99",-80
154739,The Last of Us Part I,"22,36",-60
192008,HELLDIVERS 2,"23,11",-38
374993,Onimusha 2: Samurai's Destiny,"21,49",-24
230916,Tinkerlands,"6,72",-48
172584,"Warhammer 40,000: Space Marine 2","28,75",-50
73502,Cyberpunk 2077,"23,76",-57
83819,Tainted Grail: Conquest,"3,35",-80
73381,Baldur's Gate 3,"50,31",-12
119003,ELDEN RING,"29,09",-50
176226,Shadow Gambit: The Cursed Crew,"1,89",-96
245414,Monster Hunter Wilds,"27,61",-57
338186,RoadCraft,"28,85",-24
362282,The Last of Us Part II Remastered,"34,99",-30
19877,Minecraft,"13,57",-53
294070,9 Kings,"6,48",-55
113096,Thymesia,"2,55",-90
377136,Monster Train 2,"14,48",-40
77029,Attack on Titan 2 - A.O.T.2 - 進撃の巨人２ Final Battle Edition,"47,59",-30
391286,The Elder Scrolls IV: Oblivion Remastered,"39,48",-10
374866,ELDEN RING NIGHTREIGN Deluxe Edition,"40,56",-23
394335,Sea of Stars: Throes of the Watchmaker,Free,0
237207,Cyberpunk 2077: Ultimate Edition,"28,40",-63
134937,Sniper Elite 5,"7,25",-85
4848,The Witcher 3: Wild Hunt,"2,99",-90
163874,Black Myth: Wukong,"44,43",-21
5995,Project Zomboid,"3,85",-81
338190,Schedule I,"18,71",-7
7276,Grand Theft Auto V,"9,84",0
88320,Sea of Stars,"12,14",-67
122781,Achilles: Legends Untold,"5,48",-77
35849,"Warhammer 40,000: Inquisitor - Martyr","3,44",-92
297456,Ghost of Tsushima DIRECTOR'S CUT,"34,83",-39
192731,Classified: France '44,"2,10",-93
348379,Red Dead Redemption,"34,99",-30
50596,Tom Clancy's The Division 2,"2,99",-90
